==================================================
UNRESTRAINED SYSTEM
==================================================
Sequence = PPPPPPPP
Number of conformations = 272
Partition function = 272.0
Average end-to-end distance = 3.753667905632506
Average radius of gyration = 1.5218177655394014
Average end-to-end distance = 3.753667905632505
Average energy = 0.0
Entropy S1 = 5.605802066296009
Entropy S2 = 5.605802066295998

Macrostates (Energy : Degeneracy)
0 : 272
Lowest energy = 0
Number of lowest-energy microstates = 272
State 176 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 2), (-1, 3), (-1, 4)]
State 177 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 0), (-2, 0), (-3, 0)]
State 178 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 0), (-2, 0), (-2, 1)]
State 179 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 0), (-2, 0), (-2, -1)]
State 180 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 0), (-1, -1), (0, -1)]
State 181 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 0), (-1, -1), (-2, -1)]
State 182 = [(0, 0), (1, 0), (1, 1), (0, 1), (-1, 1), (-1, 0), (-1, -1), (-1, -2)]
State 183 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2)]
State 184 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (2, 2), (2, 3)]
State 185 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (2, 2), (2, 1)]
State 186 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 3), (2, 3)]
State 187 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 3), (0, 3)]
State 188 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4)]
State 189 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (-1, 2), (-2, 2), (-3, 2)]
State 190 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (-1, 2), (-2, 2), (-2, 3)]
State 191 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (-1, 2), (-2, 2), (-2, 1)]
State 192 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (-1, 2), (-1, 3), (0, 3)]
State 193 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (-1, 2), (-1, 3), (-2, 3)]
State 194 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (-1, 2), (-1, 3), (-1, 4)]
State 195 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (-1, 2), (-1, 1), (-2, 1)]
State 196 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (-1, 2), (-1, 1), (-1, 0)]
State 197 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3)]
State 198 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (0, 3), (1, 3), (1, 4)]
State 199 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (0, 3), (1, 3), (1, 2)]
State 200 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (0, 3), (-1, 3), (-2, 3)]
State 201 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (0, 3), (-1, 3), (-1, 4)]
State 202 = [(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (0, 3), (-1, 3), (-1, 2)]
